ASSIG_B;ASSIG_A;n;dif;subject_name_1;subject_name_2
05.554;05.560;3548;0.431228861330327;Inglés II;Fundamentos de Programación
05.556;05.584;364;0.422845691382766;Minería de Datos;Administración y Gestión de Organizaciones
05.557;05.573;3381;0.45578231292517;Estructura de Computadores;Álgebra
05.562;05.557;5308;0.459871891484552;Álgebra;Fundamentos de Computadores
05.562;05.559;2431;0.450431921020156;Inglés I;Fundamentos de Computadores
05.563;05.577;877;0.450431921020156;Diseño de Sistemas Operativos;Competencia Comunicativa para Profesionales de las TIC
05.564;05.593;115;0.437852269356274;Ingeniería de Requisitos;Diseño y Programación Orientada a Objetos
05.567;05.572;5308;0.459871891484552;Redes y Aplicaciones Internet;Uso de Bases de Datos
05.567;05.593;206;0.4375;Ingeniería de Requisitos;Uso de Bases de Datos
05.570;05.554;3548;0.431228861330327;Fundamentos de Programación;Lógica
05.570;05.557;3381;0.45578231292517;Álgebra;Lógica
05.570;05.562;3688;0.489967462039046;Fundamentos de Computadores;Lógica
05.570;05.563;3493;0.422845691382766;Competencia Comunicativa para Profesionales de las TIC;Lógica
05.570;05.565;3100;0.42;Ingeniería del Software;Lógica
05.574;05.582;117;0.489967462039046;Inteligencia Artificial;Seguridad de Redes de Computadores
05.582;05.583;161;0.470278800631247;Aprendizaje Computacional;Inteligencia Artificial
05.614;05.562;1901;0.470278800631247;Fundamentos de Computadores;Iniciación a las Matemáticas para la Ingeniería
05.614;05.570;3371;0.437852269356274;Lógica;Iniciación a las Matemáticas para la Ingeniería
22.400;05.562;68;0.529411764705882;Fundamentos de Computadores;Pensamiento Computacional para Aprender a Programar
22.400;05.570;128;0.4375;Lógica;Pensamiento Computacional para Aprender a Programar
